bucket,id,category,component,title,url,doi,citation,rationale,origin_file,access,license
docs_only_device_emulation,fda_k191289_control_iq,regulatory,tandem_control_iq_emulation_context,U.S. FDA 510(k) K191289 - Control-IQ System,https://www.accessdata.fda.gov/,,U.S. FDA. 510(k) K191289 - Control-IQ System.,Regulatory context for Control-IQ documentation.,docs/EVIDENCE_BASE.md,,
docs_only_device_emulation,idcl_nct03563313,clinical_trial,tandem_control_iq_emulation_context,ClinicalTrials.gov: International Diabetes Closed Loop Trial,https://clinicaltrials.gov/ct2/show/NCT03563313,,ClinicalTrials.gov. International Diabetes Closed Loop Trial.,Trial registry context for Control-IQ trial documentation.,docs/EVIDENCE_BASE.md,,
docs_only_device_emulation,control_iq_user_guide,technical_manual,tandem_control_iq_emulation_context,Tandem Control-IQ User Guide / Product Documentation,https://www.tandemdiabetes.com/,,Tandem Diabetes Care. Control-IQ User Guide / Product Documentation.,Public product-documentation context for non-proprietary emulator notes.,docs/EVIDENCE_BASE.md,,
docs_only_device_emulation,assert_omnipod_5,clinical_trial,omnipod_5_emulation_context,Insulet / Omnipod ASSERT Trial - Omnipod 5,https://www.omnipod.com/assert-trial,,Insulet / Omnipod. ASSERT Trial - Omnipod 5.,Trial-program context for Omnipod 5 emulator notes.,docs/EVIDENCE_BASE.md,,
docs_only_device_emulation,onset_omnipod_5,clinical_trial,omnipod_5_emulation_context,Insulet / Omnipod ONSET Trial - Omnipod 5 in Type 2 Diabetes,https://www.omnipod.com/onset-trial,,Insulet / Omnipod. ONSET Trial - Omnipod 5 in Type 2 Diabetes.,Trial-program context for Omnipod 5 documentation.,docs/EVIDENCE_BASE.md,,
docs_only_device_emulation,fda_k203467_omnipod5,regulatory,omnipod_5_emulation_context,U.S. FDA 510(k) K203467 - Omnipod 5 System,https://www.accessdata.fda.gov/,,U.S. FDA. 510(k) K203467 - Omnipod 5 System.,Regulatory context for Omnipod 5 documentation.,docs/EVIDENCE_BASE.md,,
docs_only_device_emulation,omnipod5_user_guide,technical_manual,omnipod_5_emulation_context,Insulet / Omnipod 5 User Guide / Product Documentation,https://www.omnipod.com/,,Insulet / Omnipod. Omnipod 5 User Guide / Product Documentation.,Public product-documentation context for non-proprietary emulator notes.,docs/EVIDENCE_BASE.md,,
docs_only_physiology,bergman_1979_minimal_model,model,physiology_reference,Quantitative estimation of insulin sensitivity,https://doi.org/10.1152/ajpendo.1979.236.6.E667,10.1152/ajpendo.1979.236.6.E667,"Bergman RN, et al. Quantitative estimation of insulin sensitivity.",Background source for insulin sensitivity and glucose-insulin dynamics explanation.,docs/PHYSIOLOGY_REFERENCE.md,,
docs_only_hardware_safety,fda_infusion_pump_software_safety,regulatory,pico_pump_lab_safety,FDA Infusion Pump Software Safety Research,https://www.fda.gov/medical-devices/infusion-pumps/infusion-pump-software-safety-research-fda,,U.S. FDA. Infusion Pump Software Safety Research.,Safety framing for bench-only pump lab workflow and risk controls.,docs/PICO_PUMP_LAB.md,,
docs_only_hardware_safety,fda_infusion_pumps,regulatory,pico_pump_lab_safety,FDA Infusion Pumps,https://www.fda.gov/medical-devices/general-hospital-devices-and-supplies/infusion-pumps,,U.S. FDA. Infusion Pumps.,General infusion pump safety background for non-medical bench demos.,docs/PICO_PUMP_LAB.md,,
docs_only_hardware_safety,raspberry_pi_pico_docs,technical_manual,pico_pump_lab_firmware,Raspberry Pi Pico-series microcontrollers documentation,https://www.raspberrypi.com/documentation/microcontrollers/raspberry-pi-pico.html,,Raspberry Pi. Pico-series microcontrollers documentation.,Hardware documentation context for Pico firmware packaging and serial upload flow.,docs/PICO_PUMP_LAB.md,,
