type,value,first_file,first_line,count,contexts
url,https://doi.org/10.1089/dia.2019.0226,docs/EVIDENCE_BASE.md,167,2,docs/EVIDENCE_BASE.md:167; src/iints/emulation/tandem_controliq.py:108
url,https://doi.org/10.1109/TBME.2007.893506,docs/EVIDENCE_BASE.md,103,3,docs/EVIDENCE_BASE.md:103; docs/PHYSIOLOGY_REFERENCE.md:243; src/iints/presets/evidence_sources.yaml:82
url,https://doi.org/10.1111/dom.14049,docs/EVIDENCE_BASE.md,95,2,docs/EVIDENCE_BASE.md:95; src/iints/presets/evidence_sources.yaml:66
url,https://doi.org/10.1152/ajpendo.1979.236.6.E667,docs/PHYSIOLOGY_REFERENCE.md,242,1,docs/PHYSIOLOGY_REFERENCE.md:242
url,https://doi.org/10.1177/193229681000400404,docs/EVIDENCE_BASE.md,87,2,docs/EVIDENCE_BASE.md:87; src/iints/presets/evidence_sources.yaml:50
url,https://doi.org/10.1177/1932296818757747,docs/EVIDENCE_BASE.md,107,2,docs/EVIDENCE_BASE.md:107; src/iints/presets/evidence_sources.yaml:90
url,https://doi.org/10.2337/dc26-S006,docs/EVIDENCE_BASE.md,67,3,docs/EVIDENCE_BASE.md:67; docs/PHYSIOLOGY_REFERENCE.md:240; src/iints/presets/evidence_sources.yaml:10
url,https://doi.org/10.2337/dc26-S007,docs/EVIDENCE_BASE.md,71,2,docs/EVIDENCE_BASE.md:71; src/iints/presets/evidence_sources.yaml:18
url,https://doi.org/10.2337/dci19-0028,docs/EVIDENCE_BASE.md,75,3,docs/EVIDENCE_BASE.md:75; docs/PHYSIOLOGY_REFERENCE.md:241; src/iints/presets/evidence_sources.yaml:26
url,https://doi.org/10.5281/zenodo.10050944,src/iints/data/datasets.json,64,2,src/iints/data/datasets.json:64; src/iints/data/datasets.json:67
url,https://doi.org/10.5281/zenodo.15806142,src/iints/data/datasets.json,50,2,src/iints/data/datasets.json:50; src/iints/data/datasets.json:53
url,https://doi.org/10.7303/syn38187184,src/iints/data/datasets.json,37,2,src/iints/data/datasets.json:37; src/iints/data/datasets.json:39
url,https://github.com/python35/IINTS-SDK,mkdocs.yml,4,3,mkdocs.yml:4; pyproject.toml:97; docs/manuals/IINTS-AF_SDK_Manual.md:1845
url,https://github.com/python35/IINTS-SDK.git,docs/TECHNICAL_README.md,79,2,docs/TECHNICAL_README.md:79; docs/manuals/IINTS-AF_SDK_Manual.md:136
url,https://github.com/python35/IINTS-SDK.git\,examples/notebooks/00_Quickstart.ipynb,96,9,examples/notebooks/00_Quickstart.ipynb:96; examples/notebooks/06_Optional_Torch_LSTM.ipynb:93; examples/notebooks/01_Presets_and_Scenarios.ipynb:92; examples/notebooks/05_Devices_and_HumanInLoop.ipynb:94; examples/notebooks/02_Safety_and_Supervisor.ipynb:93
url,https://github.com/python35/IINTS-SDK/actions/workflows/python-package.yml,README.md,5,1,README.md:5
url,https://github.com/python35/IINTS-SDK/actions/workflows/python-package.yml/badge.svg,README.md,5,1,README.md:5
url,https://github.com/python35/IINTS-SDK/issues,docs/manuals/IINTS-AF_SDK_Manual.md,1846,1,docs/manuals/IINTS-AF_SDK_Manual.md:1846
url,https://img.shields.io/badge/docs-IINTS--AF-0a66c2?style=flat,README.md,6,1,README.md:6
url,https://img.shields.io/badge/EUCYS-2026%20Selected-gold?style=flat,README.md,3,1,README.md:3
url,https://live-jchrpublicdatasets.s3.amazonaws.com/Diabetes/Public%20Datasets/AIDET1D_Public_Dataset.zip,src/iints/data/datasets.json,80,1,src/iints/data/datasets.json:80
url,https://live-jchrpublicdatasets.s3.amazonaws.com/Diabetes/Public%20Datasets/PEDAP%20Public%20Dataset%20-%20Release%205%20-%202025-05-12.zip,src/iints/data/datasets.json,98,1,src/iints/data/datasets.json:98
url,https://mistral.ai/news/mistral-3,docs/EVIDENCE_BASE.md,131,1,docs/EVIDENCE_BASE.md:131
url,https://ollama.com/install.sh,docs/AI_ASSISTANT.md,97,3,docs/AI_ASSISTANT.md:97; docs/INSTALLATION.md:159; docs/manuals/IINTS-AF_SDK_Manual.md:151
url,https://openaps.org/outcomes/data-commons/,src/iints/data/datasets.json,144,3,src/iints/data/datasets.json:144; src/iints/data/datasets.json:146; src/iints/data/datasets.json:147
url,https://public.jaeb.org/datasets/,src/iints/data/datasets.json,78,6,src/iints/data/datasets.json:78; src/iints/data/datasets.json:85; src/iints/data/datasets.json:86; src/iints/data/datasets.json:96; src/iints/data/datasets.json:103
url,https://python35.github.io/IINTS-SDK/,README.md,6,3,README.md:6; README.md:47; mkdocs.yml:3
url,https://python35.github.io/IINTS-SDK/`,docs/PUBLIC_DOCUMENTATION.md,7,1,docs/PUBLIC_DOCUMENTATION.md:7
url,https://python35.github.io/IINTS-SDK/COMMAND_REFERENCE/,docs/manuals/IINTS-AF_SDK_Manual.md,1840,1,docs/manuals/IINTS-AF_SDK_Manual.md:1840
url,https://python35.github.io/IINTS-SDK/GETTING_STARTED/,docs/manuals/IINTS-AF_SDK_Manual.md,1838,1,docs/manuals/IINTS-AF_SDK_Manual.md:1838
url,https://python35.github.io/IINTS-SDK/MAKERFAIRE_PI/,docs/manuals/IINTS-AF_SDK_Manual.md,1842,1,docs/manuals/IINTS-AF_SDK_Manual.md:1842
url,https://python35.github.io/IINTS-SDK/QUICKSTART/,docs/manuals/IINTS-AF_SDK_Manual.md,1839,1,docs/manuals/IINTS-AF_SDK_Manual.md:1839
url,https://python35.github.io/IINTS-SDK/SCIENTIFIC_WORKFLOW/,docs/manuals/IINTS-AF_SDK_Manual.md,1841,1,docs/manuals/IINTS-AF_SDK_Manual.md:1841
url,https://raw.githubusercontent.com/python35/IINTS-SDK/main/img/iints_logo.png\,examples/notebooks/00_Quickstart.ipynb,9,9,examples/notebooks/00_Quickstart.ipynb:9; examples/notebooks/06_Optional_Torch_LSTM.ipynb:9; examples/notebooks/01_Presets_and_Scenarios.ipynb:9; examples/notebooks/05_Devices_and_HumanInLoop.ipynb:9; examples/notebooks/02_Safety_and_Supervisor.ipynb:9
url,https://repository.niddk.nih.gov/,src/iints/data/datasets.json,170,3,src/iints/data/datasets.json:170; src/iints/data/datasets.json:172; src/iints/data/datasets.json:173
url,https://test.pypi.org/simple/,docs/TECHNICAL_README.md,74,2,docs/TECHNICAL_README.md:74; examples/quickstart_benchmark.ipynb:19
url,https://unpkg.com/mermaid@11/dist/mermaid.min.js,mkdocs.yml,42,1,mkdocs.yml:42
url,https://webpages.charlotte.edu/rbunescu/data/ohiot1dm/OhioT1DM-dataset.html,src/iints/data/datasets.json,24,3,src/iints/data/datasets.json:24; src/iints/data/datasets.json:26; src/iints/data/datasets.json:27
url,https://www.accessdata.fda.gov/,docs/EVIDENCE_BASE.md,157,6,docs/EVIDENCE_BASE.md:157; docs/EVIDENCE_BASE.md:171; docs/EVIDENCE_BASE.md:193; src/iints/emulation/omnipod_5.py:127; src/iints/emulation/medtronic_780g.py:112
url,https://www.fda.gov/medical-devices/general-hospital-devices-and-supplies/infusion-pumps,docs/PICO_PUMP_LAB.md,131,1,docs/PICO_PUMP_LAB.md:131
url,https://www.fda.gov/medical-devices/infusion-pumps/infusion-pump-software-safety-research-fda,docs/PICO_PUMP_LAB.md,130,1,docs/PICO_PUMP_LAB.md:130
url,https://www.medtronicdiabetes.com/,docs/EVIDENCE_BASE.md,161,2,docs/EVIDENCE_BASE.md:161; src/iints/emulation/medtronic_780g.py:118
url,https://www.omnipod.com/,docs/EVIDENCE_BASE.md,197,2,docs/EVIDENCE_BASE.md:197; src/iints/emulation/omnipod_5.py:133
url,https://www.omnipod.com/assert-trial,docs/EVIDENCE_BASE.md,185,2,docs/EVIDENCE_BASE.md:185; src/iints/emulation/omnipod_5.py:115
url,https://www.omnipod.com/onset-trial,docs/EVIDENCE_BASE.md,189,2,docs/EVIDENCE_BASE.md:189; src/iints/emulation/omnipod_5.py:121
url,https://www.raspberrypi.com/documentation/microcontrollers/raspberry-pi-pico.html,docs/PICO_PUMP_LAB.md,132,1,docs/PICO_PUMP_LAB.md:132
url,https://www.tandemdiabetes.com/,docs/EVIDENCE_BASE.md,179,2,docs/EVIDENCE_BASE.md:179; src/iints/emulation/tandem_controliq.py:126
url,https://www.tidepool.org/bigdata,src/iints/data/datasets.json,157,3,src/iints/data/datasets.json:157; src/iints/data/datasets.json:159; src/iints/data/datasets.json:160
url,https://www.uni-kiel.de/en/eucys2026,README.md,3,1,README.md:3
url,https://your-nightscout-site.herokuapp.com,docs/manuals/IINTS-AF_SDK_Manual.md,1033,1,docs/manuals/IINTS-AF_SDK_Manual.md:1033
url,https://your-nightscout.example,docs/COMPREHENSIVE_GUIDE.md,260,3,docs/COMPREHENSIVE_GUIDE.md:260; docs/TECHNICAL_README.md:596; docs/INSTALLATION.md:326
